"Subject"	"Activity"	"tBodyAcc_mean_X"	"tBodyAcc_mean_Y"	"tBodyAcc_mean_Z"	"tBodyAcc_std_X"	"tBodyAcc_std_Y"	"tBodyAcc_std_Z"	"tGravityAcc_mean_X"	"tGravityAcc_mean_Y"	"tGravityAcc_mean_Z"	"tGravityAcc_std_X"	"tGravityAcc_std_Y"	"tGravityAcc_std_Z"	"tBodyAccJerk_mean_X"	"tBodyAccJerk_mean_Y"	"tBodyAccJerk_mean_Z"	"tBodyAccJerk_std_X"	"tBodyAccJerk_std_Y"	"tBodyAccJerk_std_Z"	"tBodyGyro_mean_X"	"tBodyGyro_mean_Y"	"tBodyGyro_mean_Z"	"tBodyGyro_std_X"	"tBodyGyro_std_Y"	"tBodyGyro_std_Z"	"tBodyGyroJerk_mean_X"	"tBodyGyroJerk_mean_Y"	"tBodyGyroJerk_mean_Z"	"tBodyGyroJerk_std_X"	"tBodyGyroJerk_std_Y"	"tBodyGyroJerk_std_Z"	"tBodyAccMag_mean"	"tBodyAccMag_std"	"tGravityAccMag_mean"	"tGravityAccMag_std"	"tBodyAccJerkMag_mean"	"tBodyAccJerkMag_std"	"tBodyGyroMag_mean"	"tBodyGyroMag_std"	"tBodyGyroJerkMag_mean"	"tBodyGyroJerkMag_std"	"fBodyAcc_mean_X"	"fBodyAcc_mean_Y"	"fBodyAcc_mean_Z"	"fBodyAcc_std_X"	"fBodyAcc_std_Y"	"fBodyAcc_std_Z"	"fBodyAcc_meanFreq_X"	"fBodyAcc_meanFreq_Y"	"fBodyAcc_meanFreq_Z"	"fBodyAccJerk_mean_X"	"fBodyAccJerk_mean_Y"	"fBodyAccJerk_mean_Z"	"fBodyAccJerk_std_X"	"fBodyAccJerk_std_Y"	"fBodyAccJerk_std_Z"	"fBodyAccJerk_meanFreq_X"	"fBodyAccJerk_meanFreq_Y"	"fBodyAccJerk_meanFreq_Z"	"fBodyGyro_mean_X"	"fBodyGyro_mean_Y"	"fBodyGyro_mean_Z"	"fBodyGyro_std_X"	"fBodyGyro_std_Y"	"fBodyGyro_std_Z"	"fBodyGyro_meanFreq_X"	"fBodyGyro_meanFreq_Y"	"fBodyGyro_meanFreq_Z"	"fBodyAccMag_mean"	"fBodyAccMag_std"	"fBodyAccMag_meanFreq"	"fBodyBodyAccJerkMag_mean"	"fBodyBodyAccJerkMag_std"	"fBodyBodyAccJerkMag_meanFreq"	"fBodyBodyGyroMag_mean"	"fBodyBodyGyroMag_std"	"fBodyBodyGyroMag_meanFreq"	"fBodyBodyGyroJerkMag_mean"	"fBodyBodyGyroJerkMag_std"	"fBodyBodyGyroJerkMag_meanFreq"
2	"WALKING"	0.273113115788079	-0.0191323183174834	-0.115649958175497	-0.605586497159271	-0.428962986589404	-0.589360062210596	0.660782866688742	-0.147219886910411	0.134865335090728	-0.963015508245033	-0.960033560165563	-0.945365383907285	0.0785353156747351	0.00708771249764901	0.000755760748377484	-0.557809603123841	-0.491875889831788	-0.741885388311258	-0.0517030657821192	-0.0568420186817881	0.0872599422291391	-0.710648927815894	-0.722943674337748	-0.634888927843046	-0.0875587491668874	-0.0433986835453642	-0.0557541828188742	-0.671679103311258	-0.783595466728477	-0.674611933293046	-0.535281800541722	-0.552812545643709	-0.535281800541722	-0.552812545643709	-0.58777744543543	-0.512115278415232	-0.614771054893146	-0.680584887880795	-0.746559539039735	-0.740088733655629	-0.57377091142947	-0.432566581302351	-0.630081222124834	-0.619788102803311	-0.464723862913245	-0.600678614835099	-0.106763418901788	0.105734176023146	0.087210586428	-0.561682049622185	-0.50890379901457	-0.715745330403973	-0.595105612895033	-0.509147543673841	-0.767087015496689	0.0868000536209802	-0.139776595362185	-0.0942651868218543	-0.638717694593046	-0.722068978635762	-0.601594889654305	-0.734588540182119	-0.72716774102649	-0.683114494539735	-0.00576500648245034	-0.0702155008665563	0.05136272912149	-0.514569861316887	-0.646662308457285	0.192199738218212	-0.509746432970861	-0.518800797709271	0.193066821118212	-0.699742945221854	-0.725310337688742	0.0471324812379801	-0.751615078360927	-0.744194981440397	0.124612068599768
4	"WALKING"	0.277034464752577	-0.0133496817746907	-0.105916135927835	-0.68386446609433	-0.589609330539691	-0.741959040257732	0.731456509896907	0.072347989306416	0.193993433768041	-0.967576704329897	-0.94170652321134	-0.936724233273196	0.0780162237953608	-0.0010311298138299	-0.00737070069603093	-0.701066737438144	-0.670976701376289	-0.859502524793814	-0.0298726752979381	-0.0750086556675258	0.0956607416628866	-0.750915960835052	-0.828888294742268	-0.745904225824742	-0.10509869233866	-0.0410624426912371	-0.060866534304433	-0.77847958572165	-0.911436316752577	-0.790578254329897	-0.637532979814948	-0.670122122716495	-0.637532979814948	-0.670122122716495	-0.72234055742268	-0.71024608685567	-0.708221087886598	-0.749105473365979	-0.849581355824742	-0.870579517938144	-0.698994344226804	-0.610966605674742	-0.784964119020619	-0.679316495457474	-0.60587907902268	-0.739920171907216	-0.15574790130299	0.0520271215242268	-0.0138445406976804	-0.71797372497165	-0.684648403917526	-0.845383895412371	-0.710952957814433	-0.679116699128866	-0.872348615876289	0.0388340995747423	-0.174386827172165	-0.0764758920417526	-0.708097003278351	-0.851859241237113	-0.723913683350515	-0.765931837365979	-0.818105282886598	-0.77886364927835	-0.145349222123196	-0.357592715106186	-0.0235926043577319	-0.668273665958763	-0.724979750463917	0.0691602833970103	-0.702045896773196	-0.723261097164948	0.165043041249278	-0.785172936701031	-0.769330760360825	-0.157891340330412	-0.86760194427835	-0.884187806804124	0.144910348074227
4	"WALKING_UPSTAIRS"	0.269685855146341	-0.0171085099442602	-0.110053359325203	-0.481157815330894	-0.384255322007236	-0.658285719430894	0.667377493902439	0.176064219895122	0.117030634772358	-0.954845868211382	-0.940959838617886	-0.948783616341463	0.080200587601626	0.0106812194621382	-0.00737856315243903	-0.522686832030976	-0.446980128646341	-0.817881987560976	-0.027473566188374	-0.0845813729861789	0.0958069867471545	-0.623295736308943	-0.749889456666667	-0.695570737073171	-0.112213469653659	-0.0384344734528455	-0.0529863681443902	-0.637528066829268	-0.888412003333333	-0.681795418349593	-0.441789745892683	-0.50629736504065	-0.441789745892683	-0.50629736504065	-0.551665062753089	-0.547890232756098	-0.574385249590244	-0.639915777398374	-0.771259192195122	-0.80255994195122	-0.518103409715447	-0.391561268041463	-0.708346275365854	-0.468588371045528	-0.422334649479756	-0.659623483821138	-0.229896701265041	0.136415181912195	-0.0204555236743252	-0.548003358486179	-0.470861077819187	-0.793248930406504	-0.540002452644715	-0.459377588636585	-0.841927060081301	-0.062652526154309	-0.190358689715447	-0.164332976294309	-0.537445270313821	-0.799459630325203	-0.634729117447155	-0.652062731170732	-0.727336206422764	-0.748519078617886	-0.0761993841779675	-0.403312438185366	0.0995517018569105	-0.497723469494309	-0.590882542479675	0.139269821727642	-0.529301794643089	-0.576991683357724	0.153282705439837	-0.683314955211382	-0.674631635121951	-0.0842086255799187	-0.793458132276423	-0.829831474634146	0.181417870697967
9	"WALKING_UPSTAIRS"	0.270313841621528	-0.0209466555412396	-0.101233826213889	-0.555656544538194	-0.5758878952125	-0.506111776081806	0.670845545555556	-0.0467446999509028	0.104353653032743	-0.958784666180556	-0.949938115208333	-0.920554317815972	0.0840171430291667	0.00678485848399306	-0.00102998088194444	-0.578305161360069	-0.678923872274306	-0.721610094569444	-0.0701318154561458	-0.0729884312991667	0.109092913237986	-0.676452392569444	-0.670498220701389	-0.587557692291458	-0.0892254930640278	-0.0397344421815972	-0.053402884281875	-0.7617108665625	-0.773273878854167	-0.744656038298611	-0.505183470509188	-0.553038255314792	-0.505183470509188	-0.553038255314792	-0.621608245092361	-0.608862145384722	-0.550201866572569	-0.663198385034722	-0.7629795809375	-0.786176892048611	-0.579258404408681	-0.610267804090278	-0.592119122804271	-0.547995744907986	-0.586766083232639	-0.501074006965903	-0.291349229752569	-0.0879003298041667	-0.0304334227664236	-0.621377141312847	-0.699766614569444	-0.702931927996528	-0.572819893733993	-0.679065855003472	-0.739139922708333	-0.219176266215278	-0.296107744084757	-0.290292303180208	-0.639863219559028	-0.683924287600694	-0.612680463163889	-0.690689895534722	-0.667203220760417	-0.619468634127778	-0.205909254584222	-0.240880440259861	-0.196153280691528	-0.553186448295139	-0.624456827182986	-0.00358269125034722	-0.609193721940625	-0.611619343190972	0.0983598303289236	-0.700863097986111	-0.697729432621528	-0.108828634535764	-0.786473954201389	-0.801296292638889	0.0927763736788194
10	"WALKING_DOWNSTAIRS"	0.276238831213675	-0.018885718916282	-0.112087661002564	-0.425216183982906	-0.386704550776068	-0.523113372540812	0.65835911957265	-0.165177771367521	0.0307366662204145	-0.964245853333333	-0.95273087965812	-0.929729024405983	0.0804000423888889	0.0153774046898718	-0.0143982101450427	-0.414395232038462	-0.431961308787137	-0.690604755970086	-0.0144658378235897	-0.0863038250719359	0.089594378107906	-0.597873796746581	-0.492482432210256	-0.505981516216239	-0.11062834367265	-0.043380952132265	-0.0554261378425641	-0.632669178589744	-0.713441119059829	-0.611026435705128	-0.384739666615641	-0.44358190387041	-0.384739666615641	-0.44358190387041	-0.474897326746876	-0.416276937898718	-0.41244162791282	-0.541830959732991	-0.670402026880342	-0.714863988119658	-0.418694276739316	-0.380394009936325	-0.572754894505128	-0.429098457335897	-0.430554427691538	-0.537241875010256	-0.198237467184402	0.088899044042735	0.126955803301549	-0.436761689484615	-0.450402445118248	-0.654781895967094	-0.444119132470983	-0.451626571504701	-0.726013573974359	-0.0856086178596154	-0.181063512296154	-0.0208108510961538	-0.531727937426966	-0.564114631944444	-0.467504644086325	-0.621040868816239	-0.460535897286325	-0.565036981154701	-0.0933071451660684	-0.129584765945726	-0.0723224360760684	-0.407807233704273	-0.552739646816667	0.151585663446154	-0.398398451363248	-0.446280697635769	0.12717476854406	-0.585222602952991	-0.593770651726496	0.0047256898401154	-0.713252357820513	-0.737951108418803	0.135779552295727
10	"WALKING_UPSTAIRS"	0.2792260805	-0.0137410699333333	-0.1082356298	-0.976914667166667	-0.929141091633333	-0.972264913	0.582637512166667	0.2814715215	0.1506301434	-0.9719009915	-0.961517524833333	-0.973718302333333	0.0775130550833333	0.00330831786383333	0.000510105274833334	-0.977836345	-0.962510329833333	-0.9852148295	-0.0342448434966667	-0.078152882769	0.0966117812	-0.970429545833333	-0.976850974833333	-0.957569497	-0.0984885261	-0.0386820786833333	-0.0560434883966667	-0.978483352166667	-0.983924353	-0.982318139166667	-0.9617663145	-0.942239747	-0.9617663145	-0.942239747	-0.978933889	-0.970288294833333	-0.948394682666667	-0.946460267166667	-0.984314541333333	-0.979257408333333	-0.975310696833333	-0.940255585	-0.976061050166667	-0.978249844833333	-0.928300078783333	-0.971528370666667	0.00798704466166666	0.11787740315	0.24323874364	-0.978120306166667	-0.9634427765	-0.9826301395	-0.979612429166667	-0.964387826	-0.9864711005	0.18049724774	-0.0236616142666667	0.136230998733333	-0.9661191675	-0.976870853	-0.9572695305	-0.971946495	-0.977034021833333	-0.961499603833333	0.0389539027333333	0.0734377932783333	0.0366931660383333	-0.951348618666667	-0.946976321166667	0.257758402675	-0.970436012833333	-0.969339341333333	0.303074622566667	-0.958964957333333	-0.94776606	0.04078922134	-0.980438270333333	-0.978997537333333	0.223002989278333
12	"SITTING"	0.275639357761194	-0.0184861388459701	-0.107917262447761	-0.508665196767164	-0.401357613464179	-0.722443639029851	0.629964778955224	0.112652596558955	-0.0494520137037314	-0.973039656865672	-0.961684570149254	-0.956887170522388	0.0572366455208955	0.010632586489403	0.0155338481445373	-0.487513853589552	-0.441798499370224	-0.813044700746269	-0.0702784362985075	-0.0422418424895522	0.089311570049403	-0.677307561997761	-0.680398804104478	-0.699245741395522	-0.0726924262059702	-0.0457374795179104	-0.0515110922703731	-0.623189590291045	-0.786312781716418	-0.71311417830597	-0.485419876919403	-0.509050737147015	-0.485419876919403	-0.509050737147015	-0.553813266144776	-0.468462139639552	-0.585957269414925	-0.641774640228657	-0.735015701865672	-0.742760839925373	-0.498119157841045	-0.392694131024627	-0.75610207	-0.514152324191791	-0.444910001659701	-0.728469606492537	-0.188475319269179	0.102421127053731	0.0531374202022388	-0.51464202580597	-0.471744804389552	-0.799284140671642	-0.505745022388806	-0.447339284527239	-0.825620583955224	-0.105604273753731	-0.232084104223881	-0.101473479845821	-0.585669505506716	-0.708184516268657	-0.64488048111194	-0.707831066395522	-0.669622323059701	-0.748431752686567	-0.049418997688806	-0.107386749104702	-0.0124011894201493	-0.47792395599403	-0.60552976507612	0.120904002453955	-0.461153229439552	-0.480918839647015	0.0954383111791045	-0.669095112974627	-0.687480054074627	-0.00238888715097019	-0.749207546626866	-0.753265165522388	0.0153660009272388
12	"WALKING_DOWNSTAIRS"	0.272145794677419	-0.0182299075608413	-0.105735506451613	-0.638208440290323	-0.608983265026882	-0.682615496811828	0.749117763666667	-0.0295853747510752	0.0924517595346236	-0.96330852155914	-0.959772033870968	-0.93954763188172	0.0799354253827957	0.00147809411698925	-0.0106609660939785	-0.650790264784946	-0.664699691132473	-0.777908761827957	-0.0575264551461828	-0.0714218698580645	0.100946227484946	-0.76431684025215	-0.774444433548387	-0.650750149365591	-0.073416747110215	-0.0421957057096774	-0.0617431983833333	-0.772069692150538	-0.829185586182796	-0.775458577365591	-0.613018446822043	-0.621456341182258	-0.613018446822043	-0.621456341182258	-0.684974084575269	-0.636898344297849	-0.66459948788172	-0.715896647204301	-0.807753381612903	-0.817815795430108	-0.637131722208064	-0.617370170090323	-0.705415178817204	-0.639348459586021	-0.63100314140914	-0.696665096612903	-0.180325464786559	0.00270278789193548	0.0802747388301075	-0.659962097978441	-0.677425008402742	-0.758238879408602	-0.67299670577957	-0.674141468072581	-0.796308612258064	-0.00412571979440863	-0.184961636962903	-0.0947475274123656	-0.71569500327957	-0.771175710268817	-0.666367678483871	-0.781057375053763	-0.779444961236559	-0.679272873655914	-0.10951505243172	-0.107254486672581	-0.102634655530645	-0.617897670354839	-0.682955169813978	0.0429490008070699	-0.638505427183871	-0.636955052134409	0.14857431310914	-0.752048340967742	-0.742461579639785	-0.076619992427957	-0.819220973494624	-0.829129754193548	0.110370491252097
13	"SITTING"	0.275895876198777	-0.0176504796070948	-0.109135285550765	-0.624844460199083	-0.448816097853364	-0.587230562129052	0.709996516908257	-0.042085810116208	0.0443010536786238	-0.967268063455658	-0.953540716850153	-0.938727880275229	0.0794393034550306	0.00387961953328134	-0.0123485923641621	-0.638889532599083	-0.569700547488012	-0.728452966311927	-0.0562470618980061	-0.0616613787494801	0.098866059686422	-0.715109859672783	-0.645728612088685	-0.643337285033639	-0.0881182379434251	-0.0440836605146789	-0.0582718748712538	-0.715772980189602	-0.718988591831804	-0.712716428498471	-0.539871637249541	-0.597230982062691	-0.539871637249541	-0.597230982062691	-0.625466938809174	-0.610248540269939	-0.58121540318471	-0.636364939544342	-0.712745036012232	-0.712056186747706	-0.638817912651682	-0.493467193137125	-0.629736258731804	-0.6206020364526	-0.462584458627829	-0.599036895271407	-0.222056646711315	-0.0348311463927523	0.0487260271941896	-0.66008217407156	-0.603340489937615	-0.710831730361468	-0.649606227431844	-0.562129866937645	-0.744823539571865	-0.0241961823456881	-0.238328546685321	-0.120605488176024	-0.65864242140581	-0.647152817899388	-0.620471226529052	-0.734657989051988	-0.6506235588474	-0.685774481529052	-0.112645469406422	-0.0806130190608563	-0.00505036969339142	-0.589928108599083	-0.665344858593272	0.0849475684648318	-0.607295296423853	-0.617075473106453	0.182861249947095	-0.652225306544343	-0.691915161336391	0.0625891805875841	-0.712054366504281	-0.733183567759939	0.157417463421743
18	"SITTING"	0.27795824	-0.01729741093	-0.110021546	-0.991705206333333	-0.939095257	-0.950753017666667	0.962581161666667	-0.180018835666667	0.0783976787	-0.995679798333333	-0.97557713	-0.973759297333333	0.0756560724	0.01212352927	0.000426343527333334	-0.989808125333333	-0.968781037	-0.989064151666667	-0.0259236282933333	-0.0744458279666667	0.0854533145	-0.950461505666667	-0.977660980333333	-0.962330311666667	-0.0981970214	-0.0397930495333333	-0.053319608	-0.976198165666667	-0.991806091	-0.982765702666667	-0.963685834333333	-0.964222192	-0.963685834333333	-0.964222192	-0.984336614	-0.983733639666667	-0.951887812	-0.947942481333333	-0.986611885	-0.986354497333333	-0.990052909	-0.949811015333333	-0.972738081666667	-0.992469808333333	-0.937087901	-0.943508302333333	-0.0377801750666667	-0.0957290482	-0.109919200726667	-0.989649728	-0.969070922	-0.986778406666667	-0.990952901666667	-0.970764276333333	-0.990011026	0.147190851333333	-0.195180123733333	-0.0223105555233333	-0.953668505666667	-0.982765614333333	-0.966466455666667	-0.950392071666667	-0.975029833666667	-0.964431652333333	-0.307039569766667	-0.375759986466667	-0.229835580015667	-0.97137329	-0.965101664666667	-0.04220509081	-0.982538887333333	-0.984285595333333	0.364297106066667	-0.964628023666667	-0.946838238333333	-0.314646109333333	-0.987332531	-0.985681788333333	-0.00802004774666665
